Fecha,Estado,Grupo_social,Tematica,Total_poblacion,Bajo_umbral_pobreza,Porcentaje_pobreza,Origen_dato
2016-01-01,Mississippi,Educación secundaria,Educación,585708,114939,0.196,Original
2016-01-01,Missouri,Educación secundaria,Educación,1228356,158470,0.129,Original
2016-01-01,Montana,Educación secundaria,Educación,201650,27056,0.134,Original
2016-01-01,Nebraska,Educación secundaria,Educación,319237,34804,0.109,Original
2016-01-01,Nevada,Educación secundaria,Educación,576158,74633,0.13,Original
2016-01-01,New Hampshire,Educación secundaria,Educación,250485,20349,0.081,Original
2016-01-01,New Jersey,Educación secundaria,Educación,1663226,194850,0.117,Original
2016-01-01,New Mexico,Educación secundaria,Educación,362438,65813,0.182,Original
2016-01-01,New York,Educación secundaria,Educación,3488461,510833,0.146,Original
2016-01-01,North Carolina,Educación secundaria,Educación,1736630,261615,0.151,Original
2016-01-01,North Dakota,Educación secundaria,Educación,130781,15748,0.12,Original
2016-01-01,Ohio,Educación secundaria,Educación,2574914,348208,0.135,Original
2016-01-01,Oklahoma,Educación secundaria,Educación,777261,116322,0.15,Original
2016-01-01,Oregon,Educación secundaria,Educación,644172,85786,0.133,Original
2016-01-01,Pennsylvania,Educación secundaria,Educación,3044803,376079,0.124,Original
2016-01-01,Rhode Island,Educación secundaria,Educación,199177,25309,0.127,Original
2016-01-01,South Carolina,Educación secundaria,Educación,958721,136599,0.142,Original
2016-01-01,South Dakota,Educación secundaria,Educación,159393,20418,0.128,Original
2016-01-01,Tennessee,Educación secundaria,Educación,1438285,221344,0.154,Original
2016-01-01,Texas,Educación secundaria,Educación,4336892,620195,0.14300000000000002,Original
2016-01-01,Utah,Educación secundaria,Educación,397406,39074,0.098,Original
2016-01-01,Vermont,Educación secundaria,Educación,126938,13769,0.108,Original
2016-01-01,Virginia,Educación secundaria,Educación,1335450,161906,0.121,Original
2016-01-01,Washington,Educación secundaria,Educación,1093691,134549,0.123,Original
2016-01-01,West Virginia,Educación secundaria,Educación,501869,83598,0.16699999999999998,Original
